#Wavelength(nm)	Transmittance(%)
1200		74.4752121
1199.5		74.65813446
1199		74.44884491
1198.5		73.90167236
1198		72.96868896
1197.5		71.76745605
1197		70.42569733
1196.5		68.92342377
1196		67.20677948
1195.5		65.38288879
1195		63.34514618
1194.5		61.35266495
1194		59.51680374
1193.5		57.73013687
1193		55.86237335
1192.5		54.11408997
1192		52.32204819
1191.5		50.5739212
1191		49.1125679
1190.5		47.7475853
1190		46.41567612
1189.5		45.13606262
1189		43.95425034
1188.5		42.76021957
1188		41.7007103
1187.5		40.77954483
1187		39.87063217
1186.5		38.92710876
1186		37.97816849
1185.5		37.01362228
1185		36.01190948
1184.5		35.09119797
1184		34.11781311
1183.5		33.03546524
1183		31.80121994
1182.5		30.38850212
1182		29.00717926
1181.5		27.58296967
1181		26.14393616
1180.5		24.58133316
1180		22.93953705
1179.5		21.12257385
1179		19.30541801
1178.5		17.7374382
1178		16.2336483
1177.5		14.74465752
1177		13.30535889
1176.5		11.90783596
1176		10.51086521
1175.5		9.33968544
1175		8.388864517
1174.5		7.517351151
1174		6.694483757
1173.5		5.916967392
1173		5.215742588
1172.5		4.588294983
1172		4.078013897
1171.5		3.664538622
1171		3.270069599
1170.5		2.901859283
1170		2.571443558
1169.5		2.285477877
1169		2.031829357
1168.5		1.832067251
1168		1.658222318
1167.5		1.489019156
1167		1.328321338
1166.5		1.188002586
1166		1.072012782
1165.5		0.970430195
1165		0.885738313
1164.5		0.805096328
1164		0.726962566
1163.5		0.657945693
1163		0.601486564
1162.5		0.541842461
1162		0.501339078
1161.5		0.457334846
1161		0.414645314
1160.5		0.381017298
1160		0.348179102
1159.5		0.317168444
1159		0.292437911
1158.5		0.273937047
1158		0.251315475
1157.5		0.227772534
1157		0.208179653
1156.5		0.193649724
1156		0.178991437
1155.5		0.166366682
1155		0.159518838
1154.5		0.143776119
1154		0.133852169
1153.5		0.12084157
1153		0.114092499
1152.5		0.106805235
1152		0.097732186
1151.5		0.087013111
1151		0.089691035
1150.5		0.081820026
1150		0.072521225
1149.5		0.068005212
1149		0.064276084
1148.5		0.060551066
1148		0.05807538
1147.5		0.052226249
1147		0.046644904
1146.5		0.043500979
1146		0.043346282
1145.5		0.039621454
1145		0.034645095
1144.5		0.034441691
1144		0.032369837
1143.5		0.026985671
1143		0.026143249
1142.5		0.02660846
1142		0.022065958
1141.5		0.017306859
1141		0.021284115
1140.5		0.017077999
1140		0.016255308
1139.5		0.016471915
1139		0.016693546
1138.5		0.010676931
1138		0.011914312
1137.5		0.012328507
1137		0.007563747
1136.5		0.01112145
1136		0.007941739
1135.5		0.004414748
1135		0.008047466
1134.5		0.004518997
1134		0.004693236
1133.5		0.002757417
1133		0.009156536
1132.5		0.002826762
1132		0.001692785
1131.5		0.004593481
1131		0.003746848
1130.5		0.001436892
1130		9.04E-05
1129.5		-0.000315262
1129		-4.01E-05
1128.5		-0.000381981
1128		-0.000863954
1127.5		0.000305567
1127		0.001360021
1126.5		-0.003802849
1126		-0.002835528
1125.5		-0.005065058
1125		-0.001381694
1124.5		-0.001367082
1124		-0.002809168
1123.5		-0.000273403
1123		-0.000869153
1122.5		-0.001362863
1122		0.000790397
1121.5		-0.00357393
1121		-0.001693565
1120.5		-0.002303634
1120		-0.001836368
1119.5		-0.002365492
1119		-0.006728284
1118.5		-0.002359954
1118		-0.000678112
1117.5		-0.000880782
1117		-0.006025178
1116.5		-0.002650966
1116		-0.001622296
1115.5		-0.002223777
1115		-0.001991546
1114.5		-0.001764396
1114		-8.64E-05
1113.5		-0.001564794
1113		-0.002610428
1112.5		0.001551158
1112		8.12E-05
1111.5		-0.000770765
1111		-0.004696848
1110.5		-0.000128571
1110		0.0028876
1109.5		0.002452024
1109		0.002486666
1108.5		0.001281832
1108		0.002720498
1107.5		0.002282898
1107		0.005183554
1106.5		0.000364477
1106		0.000542724
1105.5		0.00217691
1105		0.000304633
1104.5		0.001728467
1104		0.001077208
1103.5		0.000555932
1103		-0.000174206
1102.5		4.60E-05
1102		-0.003808152
1101.5		-0.001086712
1101		-0.001706501
1100.5		-0.001545222
1100		-0.001964734
1099.5		-0.006705084
1099		-0.006224325
1098.5		-0.006267684
1098		-0.008665476
1097.5		-0.008653343
1097		-0.009085599
1096.5		-0.005022878
1096		-0.00958201
1095.5		-0.013226694
1095		-0.010979391
1094.5		-0.012511962
1094		-0.009223325
1093.5		-0.013468179
1093		-0.013790078
1092.5		-0.013296071
1092		-0.014729866
1091.5		-0.01246739
1091		-0.015155557
1090.5		-0.013520768
1090		-0.013086539
1089.5		-0.016836487
1089		-0.012303465
1088.5		-0.01691314
1088		-0.014803186
